Disease,Medication
Fungal infection,"['Antifungal creams', 'Oral antifungals', 'Topical antifungals', 'Fluconazole', 'Itraconazole']"
Allergy,"['Antihistamines', 'Corticosteroids', 'Decongestants', 'Leukotriene modifiers', 'Immunotherapy']"
GERD,"['Proton pump inhibitors (PPIs)', 'H2 blockers', 'Antacids', 'Prokinetics', 'Antibiotics (for H. pylori)']"
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Vitamin K', 'Liver transplant', 'Corticosteroids']"
Drug Reaction,"['Antihistamines', 'Corticosteroids', 'Epinephrine', 'Antibiotics (if necessary)', 'Immunosuppressants']"
Peptic ulcer disease,"['Proton pump inhibitors (PPIs)', 'H2 blockers', 'Antacids', 'Antibiotics', 'Bismuth subsalicylate']"
AIDS,"['Antiretroviral therapy (ART)', 'NRTIs', 'NNRTIs', 'Protease inhibitors', 'Integrase inhibitors']"
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']"
Gastroenteritis,"['Oral rehydration salts (ORS)', 'Antidiarrheal medications', 'Antiemetics', 'Antibiotics (if bacterial)', 'Probiotics']"
Bronchial Asthma,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Omalizumab', 'Cromolyn sodium']"
Hypertension,"['ACE inhibitors', 'ARBs', 'Beta-blockers', 'Diuretics', 'Calcium channel blockers']"
Migraine,"['Triptans', 'NSAIDs', 'Ergotamine', 'Beta-blockers', 'Antidepressants (e.g., amitriptyline)']"
Cervical spondylosis,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Steroid injections', 'Surgery']"
Paralysis (brain hemorrhage),"['Anticoagulants', 'Physical therapy', 'Antiepileptic drugs', 'Pain relievers', 'Neurorehabilitation']"
Jaundice,"['Phototherapy', 'Antibiotics (for infections)', 'Liver transplant', 'Cholestyramine', 'Vitamin K']"
Malaria,"['Antimalarial drugs', 'Chloroquine', 'Artemisinin-based combination therapy (ACT)', 'Mefloquine', 'Quinine']"
Chicken pox,"['Antihistamines', 'Acetaminophen', 'Calamine lotion', 'Acyclovir', 'Topical corticosteroids']"
Dengue,"['Acetaminophen', 'IV fluids', 'Electrolyte solutions', 'Pain relievers', 'Blood transfusions (severe cases)']"
Typhoid,"['Antibiotics', 'Ceftriaxone', 'Azithromycin', 'Chloramphenicol', 'Fluoroquinolones']"
Hepatitis A,"['Supportive care', 'Vitamin K', 'Antiemetics', 'Rehydration', 'Intravenous fluids']"
Hepatitis B,"['Antiviral medications', 'Tenofovir', 'Entecavir', 'Interferon', 'Peginterferon']"
Hepatitis C,"['Antiviral medications', 'Sofosbuvir', 'Ledipasvir', 'Daclatasvir', 'Ribavirin']"
Hepatitis D,"['Antiviral medications', 'Interferon', 'Peginterferon', 'Liver transplant', 'Supportive care']"
Hepatitis E,"['Supportive care', 'Antiemetics', 'Rehydration', 'Intravenous fluids', 'Liver transplant (in severe cases)']"
Alcoholic hepatitis,"['Corticosteroids', 'Pentoxifylline', 'Liver transplant', 'Supportive care', 'N-acetylcysteine']"
Tuberculosis,"['Antitubercular drugs', 'Rifampicin', 'Isoniazid', 'Pyrazinamide', 'Ethambutol']"
Common Cold,"['Decongestants', 'Antihistamines', 'Acetaminophen', 'Cough syrups', 'Zinc supplements']"
Pneumonia,"['Antibiotics', 'Antivirals', 'Oxygen therapy', 'Corticosteroids', 'Analgesics']"
Dimorphic hemorrhoids (piles),"['Topical corticosteroids', 'Sitz baths', 'Oral analgesics', 'Fiber supplements', 'Hemorrhoidectomy']"
Heart attack,"['Antiplatelet agents', 'Statins', 'Beta-blockers', 'ACE inhibitors', 'Nitroglycerin']"
